anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
pdc kinases	A group of molecules that add a phosphate onto one of the enzymes in the pyruvate dehydrogenase complex (PDC), effectively turning the entire PDC off
high field nmr	A high-resolution NMR method based on higher field magnets that enables the analysis of large molecules.
dormancy	A period of suspended growth and metabolic activity
molecular imprinting	Process by which functinal monomers can self-assemble around a template molecule
catabolic	describes metabolic chemical reactions resulting in the breakdown of complex materials and the release of energy in the metabolic process (cf
evolutionary reversal	The evolution of a character from a derived state back toward a condition that resembles an earlier state.
buller drop	the tiny droplet of liquid which appears at the base of a basidiospore just before it is discharged.
autocatalysis	Reaction that is catalyzed by one of its products, creating a positive feedback (self-amplifying) effect on the reaction rate.
messenger rna	See mRNA.
plantae	One of the five recognized kingdoms
activation energy	The minimal amount of energy a molecule must gain to enter its transition state during a chemical reaction
electron acceptor	A substance that receives electrons in an oxidation-reduction reaction.
canine	KAY-nine/ (1) of, pertaining to, or like dogs; (2) a pointed tooth between the incisors and premolars; in mammalian predators the canines are usually elongated and function in seizing and piercing prey.
conflect	crowded; clustered; opposed to sparse.
kinase	A molecule that phosphorylates, or adds a phosphate group onto, other molecules in the cell in order to turn them on or off
signal sequence	A (usually N-terminal) sequence of a protein that directs its processing or localization within the cell.
striatal nerve cells	see striatal neurons.
electron carrier	A molecule that can accept electrons from and donate electrons to various enzymes.
genome	The complete genetic constitution of a cell or an individual.
biochemical pathway	A series of enzyme-catalyzed reactions that results in the conversion of a precursor molecule into a product molecule.
prochiral molecule	A symmetric molecule that can react asymmetrically with an enzyme having an asymmetric active site, generating a chiral product.
blade	(1) The broad, expanded part of a leaf
parsing	The use of algorithms to analyze data into components.
ubiquitin-proteasome system	A cellular quality control system that tags misfolded proteins for refolding or degradation.
epoch	One of the categories into which geological time is divided; a subdivision of a geological period
brackish	Water whose salt content (salinity) is intermediate between fresh water and sea water; usually at the mouths of rivers that empty into the ocean (estuaries).
resource partitioning	The division of environmental resources by coexisting species such that the niche of each species differs by one or more significant factors from the niches of all coexisting species.
epimerization	Reaction that alters the steric arrangement around one atom, as in a sugar molecule.
essential fatty acids	The group of polyunsaturated fatty acids produced by plants, but not by humans; required in the human diet.
specular	mirror-like: transparent.
ecdysis	the process of casting the skin; moulting.
autoantibodies	Antibodies that attack the body's own cells.
extrusive	Igneous
tetraploidy	Refers to the possession of four haploid sets of chromosomes (4n).
nicatinamide adenine dinucleotide phosphate	An important electron and hydrogen ion acceptor involved in transporting electrons used in biosynthetic pathways, for instance in the Calvin Benson cycle of photosynthesis.
food calorimeter	apparatus used to measure the energy content of a food.
hydrophobic molecule	A nonpolar compound that does not form favorable binding interactions with water, and is insoluble in water.
protein phosphatase	see phosphoprotein phosphatase
