frequency modulation synthesis	See Wave Table Synthesis.
bounce	The return of an e-mail message because of an error in its address or delivery.
net	See .NET.
class	a set of objects that share a common structure and a common behavior
compound statement	an executable statement with multiple lines of code, containing other statements.
broadcast hypertext markup language	The Broadcast HyperText Markup Language (BHTML) defines the application programming interfaces for a Digital Television Application Software Environment (DASE) compliant receiver.
chroma	Chroma is also known as saturation or intensity, and refers to how much of the same hue is present in a color
blog	Short for "web log" or "weblog"
nanocrystal*	A nanoscale crystal whose size, shape and atomic composition are carefully controlled to yield specific properties, like absorption of specific wavelengths of light.
escape sequence	Control codes comprising combinations of a backslash followed by letters or digits which represent non printing characters.
v.42	An error-detection standard for high-speed modems
baud	Rate of transmission speed in a signal - the number of changes of state, such as voltage or frequency, per second in a signal
footprint	A management/marketing pseudo-technical term, meaning the width and depth of a device, in other words the amount of space it will take up on a desk
unary	An operator that takes only a single operand; for example ++ (increment), -- (decrement), and - (negate).
repetition	Same as iteration: repeating a sequence of instructions until a condition is satisfied or while a condition is satisfied.
asynchronous-enabled service	Also known as an ASK (Asynchronous Server Kernel) service
gmw	File extension
precedence of operators	The order in which operations are carried out when there is more than one operator in an expression.
three finger salute	A colloquial expression for CTRL/ALT/DEL, which used to reboot a computer but which now brings up the Task List.
