cable	A molding design resembling intertwined rape.
reconnection	A process by which differently directed field lines link up, allowing topological changes of the magnetic field to occur, determining patterns of plasma flow, and resulting in conversion of magnetic energy to kinetic and thermal energy of the plasma
tholoi	Ancient Mesopotamian round structures that often were attached to a rectangular antechamber or annex, resulting in a keyhole shape
ultimatteâ®	Trade name of a high-quality special effects system similar in application to a chroma key switcher
digitize	To convert an image or signal into binary form.
evolutionary biology	the study of the process of biological evolution
cut-off	A term used in web press printing to describe the point at which a sheet of paper is cut from the roll; usually this dimension is equal to the circumference of the cylinder.
octave displacement	melodic concept involving the selection of pitches from various sometimes distant octaves
data warehousing	The extraction, consolidation and analysis of operational data within an organization.
fx	Effects
facula	White light plage.   Bright region of the photosphere seen in white light, seldom visible except near the solar limb
modem	Mostly used over phone lines, a device that converts electronic stored information from point a to point b.
skid	Alternate term for Pallet.
acoma culture	The Acoma is the name of a Native American pueblo culture of the American southwest, which arose at the end of the Great Drought in the 14th and 15th centuries AD.
lead or leading	Space added between lines of type to space out text and provide visual separation of the lines
center-weighted metering	A light-measuring device that emphasizes the area in the middle of the frame when calculating the correct exposure for an image
vignette	A photo or illustration in which tones fade gradually and blend into the print surface.
paste-up	Preparation of positive materials into a layout for photographing to film negatives.
rat tail	Long tapering design used on the back of the bowl as an elongated drop on early eighteenth century English spoons, remaining popular for a much longer period on Irish spoons
canons	Members of the chapter (governing body) of a cathedral.
in-kind awards	The host company's own products and services.
flush left	copy aligned along the left margin.
bioturbation	Activities of plants and animals in the earth, causing disturbance of archaeological materials.
encoder	A circuit that combines the primary red, green and blue signals, (or YUV signals) into a composite video signal.
coated	Paper coated with clay, white pigments and a binder
bourges	A pressure sensitive color film that is used to prepare color art.
fountain	The ink trough or container on a printing press.
mesolithic	The period between the Paleolithic (older) and the Neolithic (younger) Ages
lion passant	Walking lion looking forward
head	The top of a page or book.
art song	concert setting of a poem, usually by a well-known poet, to music
imprint	To print new copy on a previously printed sheet, such as imprinting an employee’s name on business cards
